Temp_Min,Temp_Avg,Temp_Max
20.2,23.7,28
19.7,23.8,29.5
19,23.4,30.2
19,22.1,28
17.7,19.7,21.2
18.5,19.5,20
18.2,19.4,20
17.2,18.9,20
21.7,24.9,27.7
21.2,25.2,28.7
20.7,26.4,31.5
20.2,27,33.7
19.5,28.4,39.2
18.7,27.7,38.2
20.2,26.8,33
19.7,26.1,30
35.7,38.5,40.2
36.5,39.7,41.2
37,41.4,44
38,44,46.5
39.7,45.8,48.5
40,46.4,48.5
37,40.4,43
35.7,38.7,40.2
37.5,39.1,40.5
37.7,40.4,42
38,41.1,42.7
41.2,44.3,45.7
43,46.1,47.2
42.2,46.7,48.5
39,44.3,48.2
38,39.6,41
37.2,38.5,39.5
37.2,39.6,41.2
39,40.2,41.2
41,43.2,44
43.7,45.6,46.5
43.7,47.1,48
40,45.8,48.5
38.7,41,43.2
23,29.7,34
23,30.2,34.5
22.2,30.1,34.7
21,29.9,35.7
20.2,29.8,36.7
19.7,30.4,39.5
20.5,30.5,42.5
20.2,29,37.5
19,21.9,26
19.2,22.1,26
19.2,22.2,25.5
19.5,22.6,26.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
