Time,Piezo_RMS,Piezo_Peak,Piezo_Crest,A1324_Gauss,LIS3MDL_X,LIS3MDL_Y,LIS3MDL_Z,Temp_Min,Temp_Avg,Temp_Max
00:02:40,1133.24,744,0.66,-13.2,62.91,-47.49,14.22,16.61,16.89,17.22
00:02:41,1103.57,753,0.68,-13.2,62.26,-47.71,14.03,16.62,16.86,17.2
00:02:42,498.32,364,0.73,-12.22,62.95,-47.71,15.01,16.71,16.93,17.25
00:02:42,930.03,745,0.8,-13.2,62.51,-47.87,14.69,16.71,16.93,17.25
00:02:43,560.02,387,0.69,-13.2,62.91,-47.72,14.26,16.68,16.92,17.2
00:02:44,661.98,524,0.79,-13.2,62.98,-47.91,14.31,16.76,16.98,17.34
00:02:45,907.64,747,0.82,-12.22,62.79,-48.09,13.69,16.68,16.94,17.25
00:02:46,872.32,745,0.85,-12.22,62.99,-48.01,14.97,16.66,16.93,17.25
00:02:48,766.04,753,0.98,-14.17,62.95,-47.78,14.4,16.68,16.91,17.27
00:02:49,809.84,617,0.76,-12.22,63.15,-47.63,14.16,16.74,16.99,17.34
00:02:50,811.4,745,0.92,-14.17,63.45,-48.01,13.69,16.79,17.03,17.29
00:02:51,1039.88,743,0.71,-14.17,63.26,-47.97,14.12,16.76,17.01,17.37
00:02:51,649.87,632,0.97,-15.15,63.15,-47.62,13.69,16.76,17.01,17.37
00:02:52,868.04,740,0.85,-14.17,63.3,-48.7,14.48,16.8,17.07,17.36
00:02:53,1462.81,740,0.51,-17.11,63.05,-48.17,13.81,16.85,17.07,17.27
00:02:54,1239.84,739,0.6,-16.13,63.29,-48.49,14.31,16.76,16.99,17.25
00:02:55,1200.06,740,0.62,-16.13,62.82,-48.26,13.5,16.76,16.97,17.19
00:02:57,1455.54,740,0.51,-16.13,62.7,-48.68,14.07,16.81,17,17.22
00:02:58,1238.85,740,0.6,-16.13,62.99,-48.07,14.34,16.73,16.94,17.17
00:02:59,1097.95,740,0.67,-16.13,63.52,-48,14.44,16.89,17.14,17.54
00:03:00,870.45,742,0.85,-16.13,62.86,-48.14,14.02,16.92,17.16,17.48
00:03:00,830.57,751,0.9,-17.11,63.14,-48.19,13.87,16.92,17.16,17.48
00:03:01,933.46,741,0.79,-16.13,63.45,-48.66,13.3,16.94,17.22,17.57
00:03:02,652.2,527,0.81,-16.13,64.31,-48.92,14.12,16.98,17.2,17.49
00:03:03,889.36,743,0.84,-15.15,65.3,-47.6,15.52,16.73,16.93,17.31
00:03:04,641.03,561,0.88,2.44,60.67,-41.23,17.26,16.7,16.9,17.16
00:03:06,863.89,743,0.86,-155.91,59.88,-41.16,16.98,16.67,16.92,17.17
00:03:07,907.91,743,0.82,-191.1,63.58,-41.08,16.4,16.99,17.24,17.53
00:03:08,537.63,385,0.72,-195.01,64.83,-43.55,20.58,16.71,16.96,17.24
00:03:09,826.19,743,0.9,-18.08,60.83,-37.78,17.83,16.7,16.93,17.26
00:03:10,893.29,743,0.83,-8.31,62.69,-39.8,16.46,17.04,17.24,17.55
00:03:10,617.26,486,0.79,17.11,62.66,-40.43,16.49,17.04,17.24,17.55
00:03:11,493.72,283,0.57,-7.33,63.04,-41.11,16.34,17.06,17.26,17.6
00:03:12,1060.88,744,0.7,-85.53,61.33,-39.24,14.48,17,17.24,17.61
00:03:13,778.21,743,0.95,75.76,59.66,-38.13,15.21,17.05,17.25,17.55
00:03:15,633.19,487,0.77,-32.75,57.15,-39.05,15.83,16.75,16.96,17.24
00:03:16,675.25,529,0.78,-14.17,61.81,-47.62,15.78,16.96,17.21,17.53
00:03:17,634.27,487,0.77,-15.15,64.1,-50.66,17.03,16.69,16.95,17.25
00:03:18,422.22,220,0.52,-16.13,-13.04,38.09,-19.95,16.84,17.04,17.42
00:03:19,902.2,743,0.82,-16.13,-58.49,478.87,-478.92,16.79,16.99,17.35
00:03:19,555.02,400,0.72,-15.15,-478.92,478.87,-478.92,16.79,16.99,17.35
00:03:20,574.53,387,0.67,-15.15,-55.32,478.87,-478.92,16.83,17.06,17.35
00:03:21,789.63,743,0.94,-15.15,-478.92,478.87,357.66,17.11,17.37,17.72
00:03:22,988.65,743,0.75,-15.15,-478.92,-478.92,372.83,16.83,17.04,17.4
00:03:24,520.02,359,0.69,-14.17,113.18,-117.01,-26.28,17.11,17.34,17.69
