Time,piezo_RMS,piezo_Peak,piezo_Crest,A1234,X,Y,Z
19:55:03,1175.07,468,0.4,-3.42,22.79,-223.98,-13.1
19:55:05,1063.07,455,0.43,-3.42,22.29,-224.36,-14.02
19:55:07,1001.66,388,0.39,-6.35,22.99,-224.25,-13.8
19:55:09,1000.92,384,0.38,-5.38,22.7,-224.07,-13.83
19:55:11,1014.29,389,0.38,-4.4,22.2,-223.81,-13.93
19:55:13,1134.49,436,0.38,-4.4,22.58,-223.03,-14.25
19:55:15,1168.41,442,0.38,-5.38,20.26,-220.81,-16
19:55:17,1246.3,478,0.38,-5.38,23.71,-227.11,-14.25
19:55:19,1036.67,425,0.41,-2.44,478.87,478.87,113.36
19:55:21,988.88,376,0.38,-4.4,240.38,478.87,478.87
19:55:23,1093.87,430,0.39,-3.42,-25.18,-166.06,-1.4
19:55:25,1171.37,447,0.38,-3.42,-185.28,478.87,-209.05
19:55:27,1171.56,452,0.39,-5.38,-425.18,478.87,-478.92
19:55:29,1077.56,429,0.4,-3.42,478.87,310.71,-478.92
19:55:31,975.44,383,0.39,-4.4,-295.03,478.87,-393.45
19:55:33,934.84,363,0.39,-3.42,-361.59,478.87,14.92
19:55:35,932.35,359,0.39,-4.4,-57.73,478.87,-269.61
19:55:37,943.59,362,0.38,-4.4,-153.49,478.87,-466.84
19:55:39,971.5,372,0.38,-4.4,-478.92,478.87,37.99
19:55:41,1019.21,393,0.39,-5.38,478.87,-478.92,-478.92
19:55:43,1115.95,430,0.39,-3.42,160.7,-478.92,-478.92
19:55:45,1159.54,447,0.39,-5.38,-172.7,164.7,-478.92
19:55:47,1042.02,408,0.39,-4.4,-478.92,338.04,478.87
19:55:49,991.24,388,0.39,-3.42,478.87,-303.87,-393.89
19:55:51,988.56,383,0.39,-4.4,478.87,111.27,-478.92
19:55:53,1004.28,383,0.38,-5.38,11.53,133.57,-96.86
