Time, row1, row2, row3, row4, row5, row6, row7, row8, row9, row10, row11, row12
22:23:07,21.5,21.5,21.6,21.4,21.5,21.4,21.4,21.3,21.4,21.4,21.4,21.4
22:23:07,21.5,21.5,21.5,21.5,21.4,21.3,21.4,21.4,21.3,21.3,21.3,21.3
22:23:08,21.6,21.5,21.5,21.4,21.4,21.4,21.5,21.3,21.4,21.4,21.4,21.4
22:23:08,21.2,21.2,21.2,21.1,21.1,21.2,21.1,21.1,21.1,21.1,21.1,21.1
22:23:09,21.3,21.3,21.2,21.3,21.2,21.2,21.1,21.1,21.1,21,21,21
22:23:09,21.5,21.6,21.5,21.5,21.5,21.4,21.4,21.4,21.3,21.4,21.4,21.4
22:23:09,21.4,21.5,21.5,21.5,21.4,21.4,21.4,21.4,21.3,21.5,21.5,21.5
22:23:10,21.6,21.5,21.4,21.4,21.5,21.5,21.4,21.4,21.4,21.3,21.3,21.3
22:23:10,21.6,21.6,21.5,21.5,21.5,21.5,21.4,21.4,21.4,21.5,21.5,21.5
22:23:10,21.5,21.5,21.4,21.5,21.4,21.4,21.5,21.4,21.4,21.4,21.4,21.4
22:23:11,21.6,21.5,21.6,21.5,21.5,21.5,21.5,21.4,21.5,21.4,21.4,21.4
22:23:11,21.6,21.4,21.5,21.5,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4
22:23:11,21.6,21.5,21.4,21.5,21.5,21.5,21.3,21.4,21.4,21.3,21.3,21.3
22:23:12,21.3,21.4,21.3,21.3,21.3,21.3,21.2,21.3,21.1,21.2,21.2,21.2
22:23:13,21.4,21.3,21.3,21.2,21.2,21.3,21.2,21.2,21.2,21.2,21.2,21.2
22:23:13,21.4,21.3,21.3,21.3,21.3,21.2,21.2,21.2,21.2,21.2,21.2,21.2
